,date,nu
3372,2017-03-26,9.578187661066271e-07
3373,2017-03-27,9.554275098891645e-07
3374,2017-03-28,9.459694362879876e-07
3375,2017-03-29,9.330256522713644e-07
3376,2017-03-30,9.267098537864271e-07
3377,2017-03-31,9.174714140739927e-07
3378,2017-04-01,9.193926858851919e-07
3379,2017-04-02,9.113245993187829e-07
3380,2017-04-03,9.015029338041145e-07
3381,2017-04-04,8.857778554828684e-07
3382,2017-04-05,8.773867045112347e-07
3383,2017-04-06,8.665912983731132e-07
3384,2017-04-07,9.033703868997282e-07
3385,2017-04-08,9.405194167139456e-07
3386,2017-04-09,9.465398796418903e-07
3387,2017-04-10,9.429647096266758e-07
3388,2017-04-11,9.427419860539983e-07
3389,2017-04-12,9.347801899449514e-07
3390,2017-04-13,9.310581503080253e-07
3391,2017-04-14,9.243322634855875e-07
3392,2017-04-15,9.178978020580051e-07
3393,2017-04-16,9.183245105149089e-07
3394,2017-04-17,9.151319939588123e-07
3395,2017-04-18,9.140718079010237e-07
3396,2017-04-19,9.115354487827673e-07
3397,2017-04-20,9.048271802589197e-07
3398,2017-04-21,8.990226924018062e-07
3399,2017-04-22,8.942996404197692e-07
3400,2017-04-23,8.918513529796455e-07
3401,2017-04-24,8.908344321630237e-07
3402,2017-04-25,9.0524410492621e-07
3403,2017-04-26,9.033703868997282e-07
3404,2017-04-27,8.979925146213975e-07
3405,2017-04-28,8.785775464270043e-07
3406,2017-04-29,8.560093047237241e-07
3407,2017-04-30,8.552478740984503e-07
3408,2017-05-01,8.569626378054017e-07
3409,2017-05-02,8.58682975645573e-07
3410,2017-05-03,8.584915509585685e-07
3411,2017-05-04,8.537282992095206e-07
3412,2017-05-05,8.563904317794109e-07
3413,2017-05-06,8.945041551097628e-07
3414,2017-05-07,9.191788901632189e-07
3415,2017-05-08,9.232547984772905e-07
3416,2017-05-09,9.174714140739927e-07
3417,2017-05-10,9.132250881927393e-07
3418,2017-05-11,9.008818366998349e-07
3419,2017-05-12,8.949134115567093e-07
3420,2017-05-13,8.750128436445575e-07
3421,2017-05-14,8.654266330728959e-07
3422,2017-05-15,8.508908543326004e-07
3423,2017-05-16,8.478810428325517e-07
3424,2017-05-17,8.402466126296567e-07
3425,2017-05-18,8.384014384893171e-07
3426,2017-05-19,8.37113718570393e-07
3427,2017-05-20,8.332697203310096e-07
3428,2017-05-21,8.285499588595022e-07
3429,2017-05-22,8.281886949274608e-07
3430,2017-05-23,8.263861973219074e-07
3431,2017-05-24,8.292732531159881e-07
3432,2017-05-25,8.448884363595061e-07
3433,2017-05-26,8.531595855274687e-07
3434,2017-05-27,8.522130917412163e-07
3435,2017-05-28,8.508908543326004e-07
3436,2017-05-29,8.439567538832304e-07
3437,2017-05-30,8.380331912558723e-07
3438,2017-05-31,8.3418236073632e-07
3439,2017-06-01,8.260264604826312e-07
3440,2017-06-02,8.235153911264129e-07
3441,2017-06-03,8.312675958021261e-07
3442,2017-06-04,8.36562819097222e-07
3443,2017-06-05,8.395077543515764e-07
3444,2017-06-06,8.505136823590398e-07
3445,2017-06-07,8.695140889530198e-07
3446,2017-06-08,8.738298090683105e-07
3447,2017-06-09,8.634911472389932e-07
