date,INDUST_cmd
12/27/2009,22263.80083
12/28/2009,20306.54362
12/29/2009,132114.8621
12/30/2009,129668.2906
12/31/2009,102756.0038
1/1/2010,70950.57408
1/2/2010,39145.14432
1/3/2010,70950.57408
1/4/2010,112542.2899
1/5/2010,134561.4336
1/6/2010,166366.8634
1/7/2010,107649.1469
1/8/2010,31805.42976
1/9/2010,46484.85888
1/10/2010,85630.0032
1/11/2010,66057.43104
1/12/2010,70950.57408
1/13/2010,68504.00256
1/14/2010,68504.00256
1/15/2010,83183.43168
1/16/2010,41591.71584
1/17/2010,34252.00128
1/18/2010,31805.42976
1/19/2010,11009.57184
1/20/2010,0
1/21/2010,31805.42976
1/22/2010,31805.42976
1/23/2010,0
1/24/2010,24465.7152
1/25/2010,0
1/26/2010,0
1/27/2010,0
1/28/2010,0
1/29/2010,0
1/30/2010,0
1/31/2010,22997.77229
2/1/2010,9541.628928
2/2/2010,0
2/3/2010,0
2/4/2010,0
2/5/2010,29358.85824
2/6/2010,0
2/7/2010,0
2/8/2010,0
2/9/2010,0
2/10/2010,48931.4304
2/11/2010,63610.85952
2/12/2010,56271.14496
2/13/2010,0
2/14/2010,41591.71584
2/15/2010,0
2/16/2010,0
2/17/2010,31805.42976
2/18/2010,31805.42976
2/19/2010,22019.14368
2/20/2010,15658.05773
2/21/2010,14924.08627
2/22/2010,10764.91469
2/23/2010,36698.5728
2/24/2010,70950.57408
2/25/2010,90523.14624
2/26/2010,254443.4381
2/27/2010,127221.719
2/28/2010,56271.14496
3/1/2010,20551.20077
3/2/2010,0
3/3/2010,0
3/4/2010,0
3/5/2010,58717.71648
3/6/2010,205512.0077
3/7/2010,137008.0051
3/8/2010,15413.40058
3/9/2010,156580.5773
3/10/2010,193279.1501
3/11/2010,61164.288
3/12/2010,0
3/13/2010,0
3/14/2010,0
3/15/2010,0
3/16/2010,0
3/17/2010,0
3/18/2010,0
3/19/2010,0
3/20/2010,12232.8576
3/21/2010,53824.57344
3/22/2010,0
3/23/2010,0
3/24/2010,20551.20077
3/25/2010,46484.85888
3/26/2010,63610.85952
3/27/2010,36698.5728
3/28/2010,39145.14432
3/29/2010,0
3/30/2010,0
3/31/2010,0
4/1/2010,0
4/2/2010,10520.25754
4/3/2010,24465.7152
4/4/2010,20551.20077
4/5/2010,1027.560038
4/6/2010,137008.0051
4/7/2010,183492.864
4/8/2010,205512.0077
4/9/2010,122328.576
4/10/2010,119882.0045
4/11/2010,102756.0038
4/12/2010,39145.14432
4/13/2010,1785.99721
4/14/2010,39145.14432
4/15/2010,34252.00128
4/16/2010,39145.14432
4/17/2010,16636.68634
4/18/2010,4403.828736
4/19/2010,0
4/20/2010,0
4/21/2010,0
4/22/2010,0
4/23/2010,29358.85824
4/24/2010,342.5200128
4/25/2010,63610.85952
4/26/2010,0
4/27/2010,0
4/28/2010,0
4/29/2010,0
4/30/2010,0
5/1/2010,51378.00192
5/2/2010,75843.71712
5/3/2010,44038.28736
5/4/2010,166366.8634
5/5/2010,232424.2944
5/6/2010,117435.433
5/7/2010,0
5/8/2010,0
5/9/2010,0
5/10/2010,1052.025754
5/11/2010,0
5/12/2010,15902.71488
5/13/2010,48931.4304
5/14/2010,159027.1488
5/15/2010,144347.7197
5/16/2010,117435.433
5/17/2010,56271.14496
5/18/2010,26912.28672
5/19/2010,0
5/20/2010,56271.14496
5/21/2010,48931.4304
5/22/2010,159027.1488
5/23/2010,83183.43168
5/24/2010,181046.2925
5/25/2010,95416.28928
5/26/2010,85630.0032
5/27/2010,298481.7254
5/28/2010,259336.5811
5/29/2010,61164.288
5/30/2010,88076.57472
5/31/2010,0
6/1/2010,0
6/2/2010,0
6/3/2010,0
6/4/2010,0
6/5/2010,0
6/6/2010,0
6/7/2010,0
6/8/2010,0
6/9/2010,0
6/10/2010,6361.085952
6/11/2010,0
6/12/2010,41591.71584
6/13/2010,75843.71712
6/14/2010,0
6/15/2010,119882.0045
6/16/2010,0
6/17/2010,161473.7203
6/18/2010,154134.0058
6/19/2010,117435.433
6/20/2010,112542.2899
6/21/2010,90523.14624
6/22/2010,161473.7203
6/23/2010,159027.1488
6/24/2010,193279.1501
6/25/2010,210405.1507
6/26/2010,119882.0045
6/27/2010,12722.1719
6/28/2010,151687.4342
6/29/2010,274016.0102
6/30/2010,325394.0122
7/1/2010,205512.0077
7/2/2010,26912.28672
7/3/2010,26912.28672
7/4/2010,0
7/5/2010,0
7/6/2010,0
7/7/2010,0
7/8/2010,0
7/9/2010,0
7/10/2010,0
7/11/2010,53824.57344
7/12/2010,856.300032
7/13/2010,0
7/14/2010,0
7/15/2010,16392.02918
7/16/2010,48931.4304
7/17/2010,119882.0045
7/18/2010,168813.4349
7/19/2010,88076.57472
7/20/2010,156580.5773
7/21/2010,146794.2912
7/22/2010,78290.28864
7/23/2010,0
7/24/2010,0
7/25/2010,36698.5728
7/26/2010,56271.14496
7/27/2010,70950.57408
7/28/2010,34252.00128
7/29/2010,117435.433
7/30/2010,151687.4342
7/31/2010,129668.2906
8/1/2010,124775.1475
8/2/2010,68504.00256
8/3/2010,51378.00192
8/4/2010,100309.4323
8/5/2010,124775.1475
8/6/2010,53824.57344
8/7/2010,9296.971776
8/8/2010,36698.5728
8/9/2010,0
8/10/2010,0
8/11/2010,0
8/12/2010,0
8/13/2010,0
8/14/2010,0
8/15/2010,16147.37203
8/16/2010,464.8485888
8/17/2010,0
8/18/2010,0
8/19/2010,0
8/20/2010,0
8/21/2010,12232.8576
8/22/2010,0
8/23/2010,0
8/24/2010,5382.457344
8/25/2010,0
8/26/2010,0
8/27/2010,0
8/28/2010,0
8/29/2010,19083.25786
8/30/2010,48931.4304
8/31/2010,29358.85824
9/1/2010,13700.80051
9/2/2010,0
9/3/2010,0
9/4/2010,18349.2864
9/5/2010,23976.4009
9/6/2010,0
9/7/2010,0
9/8/2010,0
9/9/2010,0
9/10/2010,0
9/11/2010,0
9/12/2010,0
9/13/2010,18349.2864
9/14/2010,29358.85824
9/15/2010,26912.28672
9/16/2010,36698.5728
9/17/2010,83183.43168
9/18/2010,75843.71712
9/19/2010,73397.1456
9/20/2010,102756.0038
9/21/2010,251996.8666
9/22/2010,151687.4342
9/23/2010,0
9/24/2010,0
9/25/2010,0
9/26/2010,36698.5728
9/27/2010,31805.42976
9/28/2010,0
9/29/2010,0
9/30/2010,0
10/1/2010,0
10/2/2010,10275.60038
10/3/2010,31805.42976
10/4/2010,0
10/5/2010,193279.1501
10/6/2010,648341.4528
10/7/2010,344966.5843
10/8/2010,261783.1526
10/9/2010,256890.0096
10/10/2010,124775.1475
10/11/2010,132114.8621
10/12/2010,134561.4336
10/13/2010,423256.873
10/14/2010,577390.8787
10/15/2010,163920.2918
10/16/2010,325394.0122
10/17/2010,129668.2906
10/18/2010,146794.2912
10/19/2010,193279.1501
10/20/2010,200618.8646
10/21/2010,53824.57344
10/22/2010,166366.8634
10/23/2010,212851.7222
10/24/2010,156580.5773
10/25/2010,110095.7184
10/26/2010,168813.4349
10/27/2010,203065.4362
10/28/2010,146794.2912
10/29/2010,122328.576
10/30/2010,8563.00032
10/31/2010,41591.71584
11/1/2010,66057.43104
11/2/2010,29358.85824
11/3/2010,19817.22931
11/4/2010,9296.971776
11/5/2010,48931.4304
11/6/2010,29358.85824
11/7/2010,80736.86016
11/8/2010,105202.5754
11/9/2010,137008.0051
11/10/2010,95416.28928
11/11/2010,88076.57472
11/12/2010,168813.4349
11/13/2010,58717.71648
11/14/2010,154134.0058
11/15/2010,185939.4355
11/16/2010,185939.4355
11/17/2010,212851.7222
11/18/2010,251996.8666
11/19/2010,149240.8627
11/20/2010,198172.2931
11/21/2010,146794.2912
11/22/2010,51378.00192
11/23/2010,56271.14496
11/24/2010,19327.91501
11/25/2010,10764.91469
11/26/2010,13456.14336
11/27/2010,18838.6007
11/28/2010,124775.1475
11/29/2010,107649.1469
11/30/2010,102756.0038
12/1/2010,105202.5754
12/2/2010,73397.1456
12/3/2010,7339.71456
12/4/2010,159027.1488
12/5/2010,141901.1482
12/6/2010,119882.0045
12/7/2010,200618.8646
12/8/2010,200618.8646
12/9/2010,83183.43168
12/10/2010,17126.00064
12/11/2010,9541.628928
12/12/2010,8807.657472
12/13/2010,457508.8742
12/14/2010,1042239.468
12/15/2010,812261.7446
12/16/2010,455062.3027
12/17/2010,239764.009
12/18/2010,3425.200128
12/19/2010,36698.5728
12/20/2010,80736.86016
12/21/2010,0
12/22/2010,0
12/23/2010,220191.4368
12/24/2010,61164.288
12/25/2010,0
12/26/2010,205512.0077
12/27/2010,442829.4451
12/28/2010,606749.737
12/29/2010,457508.8742
12/30/2010,357199.4419
12/31/2010,283802.2963
1/1/2011,247103.7235
1/2/2011,73397.1456
1/3/2011,215298.2938
1/4/2011,256890.0096
1/5/2011,22019.14368
1/6/2011,17370.65779
1/7/2011,0
1/8/2011,0
1/9/2011,0
1/10/2011,0
1/11/2011,0
1/12/2011,132114.8621
1/13/2011,173706.5779
1/14/2011,10520.25754
1/15/2011,0
1/16/2011,0
1/17/2011,0
1/18/2011,0
1/19/2011,0
1/20/2011,0
1/21/2011,34252.00128
1/22/2011,83183.43168
1/23/2011,181046.2925
1/24/2011,0
1/25/2011,0
1/26/2011,0
1/27/2011,0
1/28/2011,0
1/29/2011,48931.4304
1/30/2011,63610.85952
1/31/2011,0
2/1/2011,0
2/2/2011,56271.14496
2/3/2011,58717.71648
2/4/2011,141901.1482
2/5/2011,391451.4432
2/6/2011,430596.5875
2/7/2011,193279.1501
2/8/2011,574944.3072
2/9/2011,450169.1597
2/10/2011,403684.3008
2/11/2011,105202.5754
2/12/2011,114988.8614
2/13/2011,56271.14496
2/14/2011,139454.5766
2/15/2011,420810.3014
2/16/2011,521119.7338
2/17/2011,523566.3053
2/18/2011,543138.8774
2/19/2011,587177.1648
2/20/2011,205512.0077
2/21/2011,308268.0115
2/22/2011,450169.1597
2/23/2011,450169.1597
2/24/2011,464848.5888
2/25/2011,418363.7299
2/26/2011,332733.7267
2/27/2011,239764.009
2/28/2011,107649.1469
3/1/2011,141901.1482
3/2/2011,905.2314624
3/3/2011,0
3/4/2011,139454.5766
3/5/2011,234870.8659
3/6/2011,139454.5766
3/7/2011,298481.7254
3/8/2011,261783.1526
3/9/2011,249550.295
3/10/2011,0
3/11/2011,0
3/12/2011,0
3/13/2011,0
3/14/2011,166366.8634
3/15/2011,256890.0096
3/16/2011,254443.4381
3/17/2011,506440.3046
3/18/2011,362092.585
3/19/2011,381665.1571
3/20/2011,601856.5939
3/21/2011,538245.7344
3/22/2011,528459.4483
3/23/2011,550478.592
3/24/2011,567604.5926
3/25/2011,614089.4515
3/26/2011,210405.1507
3/27/2011,10520.25754
3/28/2011,119882.0045
3/29/2011,0
3/30/2011,0
3/31/2011,0
4/1/2011,0
4/2/2011,0
4/3/2011,80736.86016
4/4/2011,0
4/5/2011,163920.2918
4/6/2011,203065.4362
4/7/2011,325394.0122
4/8/2011,455062.3027
4/9/2011,97862.8608
4/10/2011,0
4/11/2011,403684.3008
4/12/2011,614089.4515
4/13/2011,714398.8838
4/14/2011,667914.025
4/15/2011,689933.1686
4/16/2011,249550.295
4/17/2011,107649.1469
4/18/2011,296035.1539
4/19/2011,721738.5984
4/20/2011,692379.7402
4/21/2011,601856.5939
4/22/2011,481974.5894
4/23/2011,173706.5779
4/24/2011,16636.68634
4/25/2011,327840.5837
4/26/2011,462402.0173
4/27/2011,276462.5818
4/28/2011,440382.8736
4/29/2011,320500.8691
4/30/2011,0
5/1/2011,15413.40058
