date,SLTRIB_cmd,SLTRIB_cfs
2021-09-14,1008452.3148288,412.1893216739748
2021-09-15,1403818.2724608001,573.7890557347582
2021-09-16,972022.8648959999,397.2993461779038
2021-09-17,1363596.636672,557.3490827894656
2021-09-18,2065566.9371904,844.2686106157031
2021-09-19,1778877.6864768001,727.0888034545485
2021-09-20,2053040.491008,839.1486190415001
2021-09-21,2337772.4845056,955.5284275191856
2021-09-22,2169766.4182272,886.858540526896
2021-09-23,2603152.0972800003,1063.9982490140692
2021-09-24,2235530.2606848003,913.7384962914621
2021-09-25,2211749.5855104,904.018512287311
2021-09-26,1708073.906688,698.1488510800492
2021-09-27,1001724.2431488,409.4393261995493
2021-09-28,1297857.2599296002,530.4791270084431
2021-09-29,572791.3242623999,234.11961471726863
2021-09-30,197462.7873792,80.70986717850143
2021-10-01,193474.8758016,79.07986986093287
2021-10-02,192471.7814784,78.66987053565491
2021-10-03,194991.750144,79.69986884062153
2021-10-04,194967.2844288,79.68986885707817
2021-10-05,193010.0272128,78.88987017360894
2021-10-06,193303.6157952,79.00986997612932
2021-10-07,252290.4551424,103.11983029918309
2021-10-08,204459.98192639998,83.5698624719039
2021-10-09,860679.3950208001,351.7894210720483
2021-10-10,2160983.2264704,883.268546434828
2021-10-11,1255874.0926464,513.3191552480282
2021-10-12,1390508.923392,568.3490646871675
2021-10-13,838929.374208,342.89943570199654
2021-10-14,1037786.7073536001,424.1793019424698
2021-10-15,498733.60435199994,203.84966453150184
2021-10-16,578956.6844928,236.63961057019674
2021-10-17,222271.02259200002,90.84985049147386
2021-10-18,519431.59941120003,212.30965060918894
2021-10-19,527138.2996992001,215.45964542534904
2021-10-20,428101.0845696,174.9797120418062
2021-10-21,3669.85728,1.4999975315047969
2021-10-22,7804.5631488,3.1899947503335344
2021-10-23,28624.886784,11.699980745737413
2021-10-24,440309.4764544,179.9697038299455
2021-10-25,840544.1114112,343.55943461585866
2021-10-26,505559.53889279993,206.63965994010076
2021-10-27,167174.2319616,68.32988755181516
2021-10-28,288622.0422144,117.96980586108059
2021-10-29,213169.77653759997,87.12985661334194
2021-10-30,48.9314304,0.019999967086730623
2021-10-31,121765.8645504,49.76991809532915
2021-11-01,92578.2663168,37.83993772809434
2021-11-02,189707.1556608,77.53987239525462
2021-11-03,245219.8634496,100.22983505515052
2021-11-04,576974.9615616,235.82961190318414
2021-11-05,970359.1962624,396.61934729695497
2021-11-06,315632.1917952,129.00978769295588
2021-11-07,5309.0601984,2.169996428910273
