date,Data_S65E,TP_mg/m3
11/9/2017,0.135428571,135.4285714
11/10/2017,0.134071429,134.0714286
11/11/2017,0.132714286,132.7142857
11/12/2017,0.131357143,131.3571429
11/13/2017,0.13,130
11/14/2017,0.13,130
11/15/2017,0.13,130
11/16/2017,0.13,130
11/17/2017,0.13,130
11/18/2017,0.13,130
11/19/2017,0.13,130
11/20/2017,0.13,130
11/21/2017,0.13,130
11/22/2017,0.13,130
11/23/2017,0.13,130
11/24/2017,0.13,130
11/25/2017,0.13,130
11/26/2017,0.13,130
11/27/2017,0.13,130
11/28/2017,0.126642857,126.6428571
11/29/2017,0.123285714,123.2857143
11/30/2017,0.119928571,119.9285714
12/1/2017,0.116571429,116.5714286
12/2/2017,0.113214286,113.2142857
12/3/2017,0.109857143,109.8571429
12/4/2017,0.1065,106.5
12/5/2017,0.106678571,106.6785714
12/6/2017,0.106857143,106.8571429
12/7/2017,0.107035714,107.0357143
12/8/2017,0.107214286,107.2142857
12/9/2017,0.107392857,107.3928571
12/10/2017,0.107571429,107.5714286
12/11/2017,0.10775,107.75
12/12/2017,0.107928571,107.9285714
12/13/2017,0.108107143,108.1071429
12/14/2017,0.108285714,108.2857143
12/15/2017,0.108464286,108.4642857
12/16/2017,0.108642857,108.6428571
12/17/2017,0.108821429,108.8214286
12/18/2017,0.109,109
12/19/2017,0.108,108
12/20/2017,0.107,107
12/21/2017,0.106,106
12/22/2017,0.105,105
12/23/2017,0.104,104
12/24/2017,0.103,103
12/25/2017,0.102,102
12/26/2017,0.101,101
12/27/2017,0.1,100
12/28/2017,0.099,99
12/29/2017,0.098,98
12/30/2017,0.097,97
12/31/2017,0.096,96
1/1/2018,0.095,95
1/2/2018,0.094,94
1/3/2018,0.093,93
1/4/2018,0.092,92
1/5/2018,0.091,91
1/6/2018,0.09,90
1/7/2018,0.089,89
1/8/2018,0.088,88
1/9/2018,0.087,87
1/10/2018,0.086,86
1/11/2018,0.085,85
1/12/2018,0.084,84
1/13/2018,0.083,83
1/14/2018,0.082,82
1/15/2018,0.081,81
1/16/2018,0.08,80
1/17/2018,0.079925926,79.92592593
1/18/2018,0.079851852,79.85185185
1/19/2018,0.079777778,79.77777778
1/20/2018,0.079703704,79.7037037
1/21/2018,0.07962963,79.62962963
1/22/2018,0.079555556,79.55555556
1/23/2018,0.079481481,79.48148148
1/24/2018,0.079407407,79.40740741
1/25/2018,0.079333333,79.33333333
1/26/2018,0.079259259,79.25925926
1/27/2018,0.079185185,79.18518519
1/28/2018,0.079111111,79.11111111
1/29/2018,0.079037037,79.03703704
1/30/2018,0.078962963,78.96296296
1/31/2018,0.078888889,78.88888889
2/1/2018,0.078814815,78.81481481
2/2/2018,0.078740741,78.74074074
2/3/2018,0.078666667,78.66666667
2/4/2018,0.078592593,78.59259259
2/5/2018,0.078518519,78.51851852
2/6/2018,0.078444444,78.44444444
2/7/2018,0.07837037,78.37037037
2/8/2018,0.078296296,78.2962963
2/9/2018,0.078222222,78.22222222
2/10/2018,0.078148148,78.14814815
2/11/2018,0.078074074,78.07407407
2/12/2018,0.078,78
2/13/2018,0.078464286,78.46428571
2/14/2018,0.078928571,78.92857143
2/15/2018,0.079392857,79.39285714
2/16/2018,0.079857143,79.85714286
2/17/2018,0.080321429,80.32142857
2/18/2018,0.080785714,80.78571429
2/19/2018,0.08125,81.25
2/20/2018,0.081714286,81.71428571
2/21/2018,0.082178571,82.17857143
2/22/2018,0.082642857,82.64285714
2/23/2018,0.083107143,83.10714286
2/24/2018,0.083571429,83.57142857
2/25/2018,0.084035714,84.03571429
2/26/2018,0.0845,84.5
2/27/2018,0.084964286,84.96428571
2/28/2018,0.085428571,85.42857143
3/1/2018,0.085892857,85.89285714
3/2/2018,0.086357143,86.35714286
3/3/2018,0.086821429,86.82142857
3/4/2018,0.087285714,87.28571429
3/5/2018,0.08775,87.75
3/6/2018,0.088214286,88.21428571
3/7/2018,0.088678571,88.67857143
3/8/2018,0.089142857,89.14285714
3/9/2018,0.089607143,89.60714286
3/10/2018,0.090071429,90.07142857
3/11/2018,0.090535714,90.53571429
3/12/2018,0.091,91
3/13/2018,0.088928571,88.92857143
3/14/2018,0.086857143,86.85714286
3/15/2018,0.084785714,84.78571429
3/16/2018,0.082714286,82.71428571
3/17/2018,0.080642857,80.64285714
3/18/2018,0.078571429,78.57142857
3/19/2018,0.0765,76.5
3/20/2018,0.074428571,74.42857143
3/21/2018,0.072357143,72.35714286
3/22/2018,0.070285714,70.28571429
3/23/2018,0.068214286,68.21428571
3/24/2018,0.066142857,66.14285714
3/25/2018,0.064071429,64.07142857
3/26/2018,0.062,62
3/27/2018,0.062928571,62.92857143
3/28/2018,0.063857143,63.85714286
3/29/2018,0.064785714,64.78571429
3/30/2018,0.065714286,65.71428571
3/31/2018,0.066642857,66.64285714
4/1/2018,0.067571429,67.57142857
4/2/2018,0.0685,68.5
4/3/2018,0.069428571,69.42857143
4/4/2018,0.070357143,70.35714286
4/5/2018,0.071285714,71.28571429
4/6/2018,0.072214286,72.21428571
4/7/2018,0.073142857,73.14285714
4/8/2018,0.074071429,74.07142857
4/9/2018,0.075,75
4/10/2018,0.0755,75.5
4/11/2018,0.076,76
4/12/2018,0.0765,76.5
4/13/2018,0.077,77
4/14/2018,0.0775,77.5
4/15/2018,0.078,78
4/16/2018,0.0785,78.5
4/17/2018,0.079,79
4/18/2018,0.0795,79.5
